"","OR","po.","p1.","p.o","p.1","f00","f01","f10","f11","true r","r","true D'","D'","true Q","Q","true Y","Y","true HS","HS"
"92",2,0.5,0.5,0.5,0.5,0.292893218813452,0.207106781186547,0.207106781186547,0.292893218813452,0.17157287525381,96,0.17157287525381,95.9,0.333333333333334,95.3,0.17157287525381,96,0.17157287525381,96.6
"93",2,0.654897368819341,0.345102631180659,0.442482894803224,0.557517105196776,0.327448684409671,0.327448684409671,0.115034210393553,0.230068420787106,0.159526253575339,94.8,0.246675211068735,95.1,0.333333333333333,95,0.17157287525381,95.1,0.090640012040323,32.5
"94",2,0.6,0.4,0.4,0.6,0.278889744907202,0.321110255092798,0.121110255092798,0.278889744907202,0.162040603780009,94.8,0.243060905670013,95.2,0.333333333333333,95,0.17157287525381,94.8,0.110223411045934,49.9
"95",2,0.6,0.4,0.6,0.4,0.4,0.2,0.2,0.2,0.166666666666666,93.9,0.166666666666666,93.6,0.333333333333333,93.6,0.17157287525381,94,0.109504629084079,48.9
"96",2,0.1,0.9,0.2,0.8,0.0315341561573509,0.0684658438426491,0.168465843842649,0.731534156157351,0.0961179679779241,94.1,0.144176951966886,94.2,0.333333333333333,94.5,0.171572875253809,94.4,4.81661278198372e-19,7.5
"97",5,0.625,0.375,0.375,0.625,0.3125,0.3125,0.0625,0.3125,0.333333333333333,93.2,0.555555555555556,93.9,0.666666666666667,93.5,0.381966011250105,93.1,0.281525548998107,28.5
"98",5,0.5,0.5,0.5,0.5,0.345491502812526,0.154508497187474,0.154508497187474,0.345491502812526,0.381966011250105,95.3,0.381966011250105,95.6,0.666666666666667,94.8,0.381966011250105,95.3,0.381966011250105,94.6
"99",5,0.703449847472629,0.296550152527371,0.401149949157543,0.598850050842457,0.351724923736314,0.351724923736314,0.0494250254212286,0.247125127106143,0.310621830677359,94.9,0.584527763205045,94.7,0.666666666666667,94.8,0.381966011250105,95.4,0.212709173112308,9.1
"100",4.99999999999999,0.6,0.4,0.4,0.6,0.323960135530193,0.276039864469807,0.0760398644698074,0.323960135530192,0.349833898042469,94.3,0.524750847063704,94.2,0.666666666666667,94,0.381966011250105,94.2,0.318587783015882,46.9
"101",4.99999999999999,0.6,0.4,0.6,0.4,0.45,0.15,0.15,0.25,0.375,95.5,0.375,94.8,0.666666666666666,94.9,0.381966011250105,95.2,0.304973037967785,35.4
"102",5,0.1,0.9,0.2,0.8,0.05,0.05,0.15,0.75,0.25,94.8,0.375,95.2,0.666666666666666,94.8,0.381966011250105,95.9,9.94408923407856e-09,0
"103",10,0.645161290322581,0.354838709677419,0.354838709677419,0.645161290322581,0.32258064516129,0.32258064516129,0.032258064516129,0.32258064516129,0.409090909090909,94.6,0.743801652892562,94.9,0.818181818181818,95.1,0.519493853295916,95.2,0.440679593491908,40.1
"104",10,0.5,0.5,0.5,0.5,0.379873463323979,0.120126536676021,0.120126536676021,0.379873463323979,0.519493853295916,94.2,0.519493853295916,95.2,0.818181818181818,94.6,0.519493853295916,94,0.519493853295916,94.4
"105",10,0.721274348989881,0.278725651010119,0.385975870041315,0.614024129958685,0.360637174494941,0.360637174494941,0.0253386955463744,0.253386955463744,0.376778180873961,94.9,0.764469496760614,94.1,0.818181818181819,93.9,0.519493853295916,95.2,0.379413126250017,25.6
"106",9.99999999999998,0.6,0.4,0.4,0.6,0.350676789837936,0.249323210162064,0.0493232101620643,0.350676789837936,0.461153290991399,94.5,0.691729936487098,94.7,0.818181818181818,94.3,0.519493853295915,94.6,0.489958938220723,66
"107",9.99999999999997,0.6,0.4,0.6,0.4,0.483064725597111,0.116935274402889,0.116935274402889,0.283064725597111,0.512769689987962,93.8,0.512769689987962,94.3,0.818181818181818,93.6,0.519493853295915,93.8,0.451006542868376,36.2
"108",9.99999999999999,0.1,0.9,0.2,0.8,0.0640251199682556,0.0359748800317444,0.135974880031744,0.764025119968256,0.366875999735463,94.1,0.550313999603195,94.4,0.818181818181818,95,0.519493853295915,94.8,4.63835862493664e-05,0
"109",20,0.655737704918033,0.344262295081967,0.344262295081967,0.655737704918033,0.327868852459016,0.327868852459016,0.0163934426229508,0.327868852459016,0.452380952380952,95.3,0.861678004535147,94.6,0.904761904761905,94.6,0.634512004736886,95.6,0.627091660877676,56
"110",20,0.5,0.5,0.5,0.5,0.408628001184222,0.0913719988157784,0.0913719988157784,0.408628001184222,0.634512004736886,94.5,0.634512004736886,93.8,0.904761904761905,94.2,0.634512004736886,94.5,0.634512004736886,94.4
"111",20,0.730529683610175,0.269470316389825,0.378096761633174,0.621903238366826,0.365264841805087,0.365264841805087,0.0128319198280869,0.256638396561738,0.413919438632922,94.9,0.874055923109843,94.6,0.904761904761904,94.2,0.634512004736886,94.6,0.585875126788594,44.2
"112",20,0.6,0.4,0.4,0.6,0.370185295008512,0.229814704991488,0.0298147049914876,0.370185295008512,0.542438729202135,95,0.813658093803202,95,0.904761904761905,94.1,0.634512004736886,95,0.650483344211782,68.6
"113",19.9999999999998,0.6,0.4,0.6,0.4,0.510885725265993,0.0891142747340072,0.0891142747340072,0.310885725265993,0.628690521941637,95.2,0.628690521941637,94.8,0.904761904761904,95.4,0.634512004736885,95.2,0.579656924091809,42.2
"114",20,0.1,0.9,0.2,0.8,0.076142808891188,0.023857191108812,0.123857191108812,0.776142808891188,0.4678567407599,94.4,0.70178511113985,93.2,0.904761904761905,93.6,0.634512004736886,94.2,0.00460608750703576,0
